Ticker,PB,B/M,ROE,EPS_Growth_QQ
AAPL,46.03,0.021724961981316532,1.3802,0.0768
MSFT,10.56,0.0946969696969697,0.3361,0.1788
GOOGL,6.06,0.16501650165016502,0.3479,0.4877
AMZN,7.03,0.14224751066856328,0.25239999999999996,0.6233
META,8.76,0.11415525114155252,0.3983,0.3638
JPM,2.21,0.45248868778280543,0.1725,0.1409
V,18.96,0.05274261603375527,0.5003,0.0187
JNJ,4.75,0.21052631578947367,0.2945,2.388
PG,7.53,0.13280212483399734,0.3029,0.013000000000000001
NVDA,42.32,0.023629489603024575,1.1918,0.8123
HD,55.88,0.017895490336435216,2.9951999999999996,-0.0493
MA,78.41,0.012753475322025252,1.8891999999999998,0.1144
DIS,1.93,0.5181347150259068,0.0875,166.63299999999998
PEP,9.77,0.1023541453428864,0.5006,-0.0993
KO,11.77,0.08496176720475786,0.40979999999999994,0.050300000000000004
CSCO,5.5,0.18181818181818182,0.21359999999999998,0.33990000000000004
XOM,1.71,0.5847953216374269,0.1418,-0.1419
PFE,1.48,0.6756756756756757,0.0862,-0.0513
MRK,4.06,0.24630541871921185,0.3931,0.07200000000000001
WMT,8.54,0.117096018735363,0.228,-0.1164
